#               time [ns]                      <n>
   7.0285142571285641E+00   1.9277224864333318E-03
   7.0535267633816918E+00   1.9590745774968636E-03
   7.0785392696348177E+00   1.9908411471889508E-03
   7.1035517758879445E+00   2.0230295712738125E-03
   7.1285642821410704E+00   2.0556473744103229E-03
   7.1535767883941981E+00   2.0887022245616341E-03
   7.1785892946473240E+00   2.1222019270191830E-03
   7.2036018009004508E+00   2.1561544180509402E-03
   7.2286143071535767E+00   2.1905677581848821E-03
   7.2536268134067043E+00   2.2254501251396928E-03
   7.2786393196598302E+00   2.2608098064158949E-03
   7.3036518259129570E+00   2.2966551915615655E-03
   7.3286643321660829E+00   2.3329947641279047E-03
   7.3536768384192106E+00   2.3698370933308887E-03
   7.3786893446723365E+00   2.4071908254362697E-03
   7.4037018509254633E+00   2.4450646748860601E-03
   7.4287143571785892E+00   2.4834674151856294E-03
   7.4537268634317169E+00   2.5224078695713649E-03
   7.4787393696848419E+00   2.5618949014796790E-03
   7.5037518759379696E+00   2.6019374048389726E-03
   7.5287643821910955E+00   2.6425442942068634E-03
   7.5537768884442231E+00   2.6837244947756694E-03
   7.5787893946973481E+00   2.7254869322698673E-03
   7.6038019009504758E+00   2.7678405227596803E-03
   7.6288144072036017E+00   2.8107941624156258E-03
   7.6538269134567285E+00   2.8543567172292297E-03
   7.6788394197098544E+00   2.8985370127255368E-03
   7.7038519259629821E+00   2.9433438236934604E-03
   7.7288644322161089E+00   2.9887858639601889E-03
   7.7538769384692348E+00   3.0348717762361836E-03
   7.7788894447223624E+00   3.0816101220573705E-03
   7.8039019509754883E+00   3.1290093718513196E-03
   7.8289144572286151E+00   3.1770778951540493E-03
   7.8539269634817410E+00   3.2258239510042754E-03
   7.8789394697348687E+00   3.2752556785415302E-03
   7.9039519759879946E+00   3.3253810878345943E-03
   7.9289644822411214E+00   3.3762080509663387E-03
   7.9539769884942473E+00   3.4277442934006704E-03
   7.9789894947473750E+00   3.4799973856570014E-03
   8.0040020010005009E+00   3.5329747353170307E-03
   8.0290145072536276E+00   3.5866835793881991E-03
   8.0540270135067544E+00   3.6411309770475013E-03
   8.0790395197598812E+00   3.6963238027886056E-03
   8.1040520260130062E+00   3.7522687399945574E-03
   8.1290645322661348E+00   3.8089722749574842E-03
   8.1540770385192598E+00   3.8664406913657703E-03
   8.1790895447723866E+00   3.9246800652783000E-03
   8.2041020510255134E+00   3.9836962606043125E-03
   8.2291145572786402E+00   4.0434949251063074E-03
   8.2541270635317670E+00   4.1040814869423561E-03
   8.2791395697848937E+00   4.1654611517629274E-03
   8.3041520760380187E+00   4.2276389003761518E-03
   8.3291645822911473E+00   4.2906194869941055E-03
   8.3541770885442723E+00   4.3544074380713416E-03
   8.3791895947973991E+00   4.4190070517455878E-03
   8.4042021010505259E+00   4.4844223978890161E-03
   8.4292146073036527E+00   4.5506573187770183E-03
   8.4542271135567777E+00   4.6177154303800594E-03
   8.4792396198099063E+00   4.6856001242823932E-03
   8.5042521260630313E+00   4.7543145702301608E-03
   8.5292646323161581E+00   4.8238617193095473E-03
   8.5542771385692848E+00   4.8942443077542525E-03
   8.5792896448224116E+00   4.9654648613797602E-03
   8.6043021510755384E+00   5.0375257006404408E-03
   8.6293146573286652E+00   5.1104289463036493E-03
   8.6543271635817902E+00   5.1841765257335578E-03
   8.6793396698349188E+00   5.2587701797756521E-03
   8.7043521760880438E+00   5.3342114702313549E-03
   8.7293646823411706E+00   5.4105017879103063E-03
   8.7543771885942974E+00   5.4876423612466672E-03
   8.7793896948474242E+00   5.5656342654637472E-03
   8.8044022011005509E+00   5.6444784322699920E-03
   8.8294147073536777E+00   5.7241756600677337E-03
   8.8544272136068027E+00   5.8047266246545022E-03
   8.8794397198599313E+00   5.8861318903953548E-03
   8.9044522261130563E+00   5.9683919218430975E-03
   8.9294647323661831E+00   6.0515070957819885E-03
   8.9544772386193099E+00   6.1354777136691267E-03
   8.9794897448724367E+00   6.2203040144462995E-03
   9.0045022511255635E+00   6.3059861876940976E-03
   9.0295147573786902E+00   6.3925243870985825E-03
   9.0545272636318170E+00   6.4799187441999641E-03
   9.0795397698849438E+00   6.5681693823915104E-03
   9.1045522761380706E+00   6.6572764311359691E-03
   9.1295647823911956E+00   6.7472400403658468E-03
   9.1545772886443242E+00   6.8380603950331798E-03
   9.1795897948974492E+00   6.9297377297735125E-03
   9.2046023011505760E+00   7.0222723436481043E-03
   9.2296148074037028E+00   7.1156646149280892E-03
   9.2546273136568296E+00   7.2099150158833874E-03
   9.2796398199099546E+00   7.3050241275390915E-03
   9.3046523261630831E+00   7.4009926543615471E-03
   9.3296648324162081E+00   7.4978214388362191E-03
   9.3546773386693349E+00   7.5955114758991778E-03
   9.3796898449224617E+00   7.6940639271841872E-03
   9.4047023511755885E+00   7.7934801350472132E-03
   9.4297148574287153E+00   7.8937616363305135E-03
   9.4547273636818421E+00   7.9949101758286581E-03
   9.4797398699349671E+00   8.0969277194190108E-03
   9.5047523761880957E+00   8.1998164668201663E-03
   9.5297648824412207E+00   8.3035788639416325E-03
   9.5547773886943475E+00   8.4082176147893678E-03
   9.5797898949474742E+00   8.5137356928922381E-03
   9.6048024012006010E+00   8.6201363522151169E-03
   9.6298149074537278E+00   8.7274231375259487E-03
   9.6548274137068546E+00   8.8355998941840874E-03
   9.6798399199599796E+00   8.9446707773193981E-03
   9.7048524262131082E+00   9.0546402603722490E-03
   9.7298649324662332E+00   9.1655131429657765E-03
   9.7548774387193600E+00   9.2772945580835674E-03
   9.7798899449724868E+00   9.3899899785269830E-03
   9.8049024512256135E+00   9.5036052226282128E-03
   9.8299149574787403E+00   9.6181464591965481E-03
   9.8549274637318671E+00   9.7336202116770961E-03
   9.8799399699849921E+00   9.8500333615031289E-03
   9.9049524762381207E+00   9.9673931506247902E-03
   9.9299649824912457E+00   1.0085707183198950E-02
   9.9549774887443725E+00   1.0204983426427025E-02
   9.9799899949974993E+00   1.0325230210529336E-02
   1.0005002501250626E+01   1.0446456227846837E-02
   1.0030015007503751E+01   1.0568670531063097E-02
   1.0055027513756880E+01   1.0691882530541544E-02
   1.0080040020010005E+01   1.0816101990774960E-02
   1.0105052526263131E+01   1.0941339025946892E-02
